created_date,Agency,datasets_created
2013-06-10,CDC,1
2013-06-11,CDC,1
2013-06-19,CDC,1
2013-06-27,CDC,2
2013-07-17,CDC,1
2013-07-29,CDC,5
2013-08-02,CDC,2
2014-03-01,CDC,1
2014-03-04,CDC,1
2014-03-05,CDC,1
2014-03-09,CDC,8
2014-03-10,CDC,1
2014-04-01,CDC,1
2014-04-02,CDC,2
2014-04-07,CDC,1
2014-04-16,CDC,1
2014-04-22,CDC,1
2014-05-07,CDC,2
2014-05-19,CDC,4
2014-05-27,CDC,3
2014-05-28,CDC,2
2014-06-05,CDC,1
2014-07-14,CDC,3
2014-07-15,CDC,4
2014-07-21,CDC,2
2014-08-11,CDC,2
2014-08-14,CDC,1
2014-08-27,CDC,1
2014-09-05,CDC,2
2014-12-05,CDC,1
2014-12-12,CDC,1
2014-12-15,CDC,4
2014-12-16,CDC,12
2014-12-17,CDC,31
2015-01-12,CDC,1
2015-01-13,CDC,15
2015-01-14,CDC,1
2015-01-15,CDC,3
2015-01-20,CDC,1
2015-01-21,CDC,2
2015-01-23,CDC,2
2015-01-28,CDC,2
2015-02-02,CDC,1
2015-02-04,CDC,1
2015-02-05,CDC,1
2015-03-02,CDC,1
2015-03-03,CDC,1
2015-03-16,CDC,11
2015-03-17,CDC,6
2015-03-24,CDC,1
2015-03-25,CDC,1
2015-04-14,CDC,1
2015-04-21,CDC,1
2015-04-22,CDC,3
2015-05-04,CDC,6
2015-05-15,CDC,1
2015-05-20,CDC,1
2015-06-01,CDC,1
2015-06-04,CDC,6
2015-06-15,CDC,1
2015-06-17,CDC,1
2015-06-23,CDC,1
2015-06-30,CDC,3
2015-07-08,CDC,2
2015-07-09,CDC,1
2015-07-10,CDC,1
2015-07-14,CDC,5
2015-08-07,CDC,1
2015-09-14,CDC,1
2015-09-16,CDC,1
2015-10-15,CDC,1
2015-11-06,CDC,4
2015-11-17,CDC,1
2015-12-02,CDC,14
2016-01-07,CDC,2
2016-01-11,CDC,7
2016-01-12,CDC,9
2016-01-20,CDC,1
2016-03-01,CDC,1
2016-03-15,CDC,1
2016-04-14,CDC,1
2016-05-11,CDC,1
2016-05-12,CDC,2
2016-05-13,CDC,1
2016-05-16,CDC,1
2016-06-15,CDC,2
2016-06-23,CDC,1
2016-06-24,CDC,2
2016-07-21,CDC,2
2016-07-22,CDC,4
2016-08-03,CDC,1
2016-08-04,CDC,1
2016-08-29,CDC,2
2016-10-06,CDC,1
2016-10-20,CDC,1
2016-10-28,CDC,2
2016-11-02,CDC,1
2016-11-07,CDC,1
2016-11-08,CDC,2
2016-11-21,CDC,1
2016-11-30,CDC,2
2017-01-12,CDC,17
2017-01-19,CDC,1
2017-04-06,CDC,1
2017-04-12,CDC,1
2017-06-07,CDC,1
2017-06-27,CDC,2
2017-07-20,CDC,1
2017-08-15,CDC,2
2017-08-23,CDC,1
2017-09-28,CDC,1
2017-10-03,CDC,1
2017-11-21,CDC,1
2017-11-22,CDC,2
2017-12-06,CDC,2
2018-01-05,CDC,1
2018-01-06,CDC,1
2018-01-08,CDC,16
2018-01-09,CDC,2
2018-02-07,CDC,1
2018-02-13,CDC,6
2018-03-06,CDC,1
2018-03-07,CDC,1
2018-04-12,CDC,1
2018-05-16,CDC,2
2018-05-24,CDC,1
2018-05-25,CDC,1
2018-06-20,CDC,1
2018-07-26,CDC,3
2018-07-31,CDC,1
2018-08-01,CDC,1
2018-08-03,CDC,2
2018-10-11,CDC,1
2018-10-15,CDC,2
2018-12-31,CDC,9
2019-01-01,CDC,7
2019-01-02,CDC,3
2019-01-03,CDC,23
2019-02-01,CDC,1
2019-03-05,CDC,1
2019-03-19,CDC,1
2019-04-01,CDC,39
2019-04-10,CDC,1
2019-04-26,CDC,1
2019-04-29,CDC,1
2019-05-06,CDC,2
2019-05-23,CDC,1
2019-06-21,CDC,1
2019-07-24,CDC,2
2019-08-12,CDC,1
2019-08-20,CDC,1
2019-09-26,CDC,1
2019-09-27,CDC,1
2019-12-04,CDC,2
2019-12-05,CDC,1
2019-12-12,CDC,10
2019-12-13,CDC,7
2019-12-16,CDC,11
2019-12-17,CDC,2
2020-01-10,CDC,6
2020-01-14,CDC,2
2020-01-16,CDC,3
2020-03-18,CDC,1
2020-03-19,CDC,2
2020-03-26,CDC,2
2020-03-27,CDC,1
2020-03-30,CDC,1
2020-04-03,CDC,1
2020-04-06,CDC,1
2020-04-08,CDC,1
2020-04-10,CDC,3
2020-04-13,CDC,1
2020-04-21,CDC,3
2020-04-27,CDC,1
2020-04-28,CDC,1
2020-04-29,CDC,1
2020-05-01,CDC,3
2020-05-06,CDC,1
2020-05-08,CDC,3
2020-05-13,CDC,1
2020-05-15,CDC,2
2020-05-20,CDC,3
2020-05-21,CDC,1
2020-05-28,CDC,2
2020-05-29,CDC,1
2020-06-24,CDC,1
2020-06-25,CDC,1
2020-06-29,CDC,1
2020-07-22,CDC,3
2020-07-24,CDC,3
2020-08-04,CDC,1
2020-08-05,CDC,1
2020-08-06,CDC,2
2020-08-08,CDC,1
2020-08-13,CDC,1
2020-09-02,CDC,1
2020-09-04,CDC,2
2020-09-11,CDC,1
2020-09-14,CDC,4
2020-09-15,CDC,1
2020-09-16,CDC,1
2020-09-23,CDC,1
2020-09-24,CDC,2
2020-09-25,CDC,2
2020-10-02,CDC,1
2020-10-07,CDC,1
2020-10-19,CDC,4
2020-10-20,CDC,2
2020-10-21,CDC,3
2020-11-10,CDC,1
2020-11-12,CDC,1
2020-11-20,CDC,1
2020-11-30,CDC,1
2020-12-14,CDC,1
2020-12-15,CDC,1
2020-12-19,CDC,1
2021-01-05,CDC,12
2021-01-06,CDC,3
2021-01-07,CDC,25
2021-01-08,CDC,4
2021-01-13,CDC,1
2021-01-23,CDC,1
2021-01-28,CDC,2
2021-02-01,CDC,2
2021-02-03,CDC,4
2021-02-10,CDC,1
2021-02-11,CDC,1
2021-02-19,CDC,2
2021-02-24,CDC,5
2021-02-26,CDC,4
2021-02-27,CDC,1
2021-03-04,CDC,2
2021-03-09,CDC,1
2021-03-12,CDC,2
2021-03-24,CDC,1
2021-03-25,CDC,3
2021-04-02,CDC,1
2021-04-05,CDC,2
