month,datasets_created,Agency
2013-06-01,5,CDC
2013-07-01,6,CDC
2013-08-01,2,CDC
2014-03-01,12,CDC
2014-04-01,6,CDC
2014-05-01,11,CDC
2014-06-01,1,CDC
2014-07-01,9,CDC
2014-08-01,4,CDC
2014-09-01,2,CDC
2014-12-01,49,CDC
2015-01-01,27,CDC
2015-02-01,3,CDC
2015-03-01,21,CDC
2015-04-01,5,CDC
2015-05-01,8,CDC
2015-06-01,13,CDC
2015-07-01,9,CDC
2015-08-01,1,CDC
2015-09-01,2,CDC
2015-10-01,1,CDC
2015-11-01,5,CDC
2015-12-01,14,CDC
2016-01-01,19,CDC
2016-03-01,2,CDC
2016-04-01,1,CDC
2016-05-01,5,CDC
2016-06-01,5,CDC
2016-07-01,6,CDC
2016-08-01,4,CDC
2016-10-01,4,CDC
2016-11-01,7,CDC
2017-01-01,18,CDC
2017-04-01,2,CDC
2017-06-01,3,CDC
2017-07-01,1,CDC
2017-08-01,3,CDC
2017-09-01,1,CDC
2017-10-01,1,CDC
2017-11-01,3,CDC
2017-12-01,2,CDC
2018-01-01,20,CDC
2018-02-01,7,CDC
2018-03-01,2,CDC
2018-04-01,1,CDC
2018-05-01,4,CDC
2018-06-01,1,CDC
2018-07-01,4,CDC
2018-08-01,3,CDC
2018-10-01,3,CDC
2018-12-01,9,CDC
2019-01-01,33,CDC
2019-02-01,1,CDC
2019-03-01,2,CDC
2019-04-01,42,CDC
2019-05-01,3,CDC
2019-06-01,1,CDC
2019-07-01,2,CDC
2019-08-01,2,CDC
2019-09-01,2,CDC
2019-12-01,33,CDC
2020-01-01,11,CDC
2020-03-01,7,CDC
2020-04-01,13,CDC
2020-05-01,17,CDC
2020-06-01,3,CDC
2020-07-01,6,CDC
2020-08-01,6,CDC
2020-09-01,15,CDC
2020-10-01,11,CDC
2020-11-01,4,CDC
2020-12-01,3,CDC
2021-01-01,48,CDC
2021-02-01,20,CDC
2021-03-01,9,CDC
2021-04-01,15,CDC
2021-05-01,36,CDC
2021-06-01,5,CDC
2021-07-01,8,CDC
2021-08-01,8,CDC
2021-09-01,14,CDC
2021-10-01,10,CDC
2021-11-01,7,CDC
2021-12-01,40,CDC
2022-01-01,8,CDC
2022-02-01,8,CDC
2022-03-01,4,CDC
2022-04-01,1,CDC
2022-05-01,5,CDC
2022-06-01,25,CDC
2022-07-01,6,CDC
2022-08-01,1,CDC
2022-09-01,7,CDC
2022-10-01,19,CDC
2022-11-01,5,CDC
2022-12-01,15,CDC
2023-01-01,4,CDC
2023-02-01,4,CDC
2023-03-01,3,CDC
2023-04-01,8,CDC
2023-05-01,31,CDC
2023-06-01,27,CDC
2023-07-01,5,CDC
2023-08-01,5,CDC
2023-09-01,10,CDC
2023-10-01,7,CDC
2023-11-01,10,CDC
2023-12-01,16,CDC
2024-01-01,12,CDC
2024-02-01,18,CDC
2024-03-01,5,CDC
2024-04-01,14,CDC
2024-05-01,5,CDC
2024-06-01,2,CDC
2024-07-01,12,CDC
2024-08-01,1,CDC
2024-09-01,19,CDC
2024-10-01,25,CDC
2024-11-01,106,CDC
2024-12-01,21,CDC
2025-01-01,2,CDC
2025-02-01,15,CDC
2025-03-01,17,CDC
2025-04-01,9,CDC
2025-05-01,5,CDC
2025-06-01,40,CDC
2025-07-01,23,CDC
2025-08-01,18,CDC
2025-09-01,15,CDC
2025-10-01,4,CDC
2025-11-01,13,CDC
2025-12-01,4,CDC
2026-01-01,7,CDC
2026-02-01,2,CDC
2026-03-01,3,CDC
2026-04-01,12,CDC
2026-05-01,5,CDC
2026-06-01,7,CDC
2026-07-01,3,CDC
2026-09-01,81,CDC
